Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
CAVIN2	caveolae associated protein 2	SDPR	SDR, PS-p68, cavin-2	NM_004657	8436	8436	NM_004657
CAVIN2-AS1	CAVIN2 and TMEFF2 antisense RNA 1		LOC105373813		105373813	105373813	XR_923723
CAVIN3	caveolae associated protein 3	PRKCDBP	SRBC, HSRBC, MGC20400, cavin-3	NM_145040	112464	112464	NM_145040
CAVIN4	caveolae associated protein 4	MURC	cavin-4	NM_001018116	347273	347273	NM_001018116
CBARP	CACN subunit beta associated regulatory protein	C19orf26	MGC40084, DOS, BARP	NM_152769	255057	255057	NM_001393918
CBARP-DT	CBARP divergent transcript					118827813	XR_007067081
CBBM	symbol withdrawn, see [HGNC:4206](/data/gene-symbol-report/#!/hgnc_id/HGNC:4206) and [HGNC:9936]/data/gene-symbol-report/#!/hgnc_id/HGNC:9936)						
CBD	symbol withdrawn, see [HGNC:4206](/data/gene-symbol-report/#!/hgnc_id/HGNC:4206)						
CBFA1	symbol withdrawn, see [HGNC:10472](/data/gene-symbol-report/#!/hgnc_id/HGNC:10472)						
CBFA2	symbol withdrawn, see [HGNC:10471](/data/gene-symbol-report/#!/hgnc_id/HGNC:10471)						
CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2		MTGR1, ZMYND3	NM_001032999	9139	9139	NM_001032999
CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3		MTGR2, ZMYND4, MTG16, RUNX1T3, ETO2	NM_005187	863	863	NM_005187
CBFA3	symbol withdrawn, see [HGNC:10473](/data/gene-symbol-report/#!/hgnc_id/HGNC:10473)						
CBFB	core-binding factor subunit beta		PEBP2B	NM_001755	865	865	NM_001368707
CBG	symbol withdrawn, see [HGNC:1540](/data/gene-symbol-report/#!/hgnc_id/HGNC:1540)						
CBL	Cbl proto-oncogene	CBL2	RNF55, c-Cbl	NM_005188	867	867	NM_005188
CBLB	Cbl proto-oncogene B		RNF56, Cbl-b	NM_170662	868	868	NM_001321786
CBLC	Cbl proto-oncogene C		CBL-3, CBL-SL, RNF57	NM_012116	23624	23624	NM_001130852
CBLIF	cobalamin binding intrinsic factor	GIF	TCN3, IF, IFMH, INF	NM_005142	2694	2694	NM_005142
CBLL1	Cbl proto-oncogene like 1		HAKAI, FLJ23109, RNF188	NM_024814	79872	79872	NM_001284291
CBLL1-AS1	CBLL1 antisense RNA 1			NR_144537	101927974	101927974	NR_144536
CBLL1P1	CBLL1 pseudogene 1			NG_022634	100128122	100128122	NG_022634
CBLL2	Cbl proto-oncogene like 2	ZNF645	FLJ25735, HAKAIL, CT138	NM_152577	158506	158506	NM_152577
CBLN1	cerebellin 1 precursor			NM_004352	869	869	NM_004352
CBLN2	cerebellin 2 precursor			NM_182511	147381	147381	NM_182511
CBLN3	cerebellin 3 precursor			NM_001039771	643866	643866	NM_001039771
CBLN4	cerebellin 4 precursor	CBLNL1	dJ885A10.1	NM_080617	140689	140689	NM_080617
CBP	symbol withdrawn, see [HGNC:9936](/data/gene-symbol-report/#!/hgnc_id/HGNC:9936)						
CBP1	symbol withdrawn, see [HGNC:1546](/data/gene-symbol-report/#!/hgnc_id/HGNC:1546)						
CBP2	symbol withdrawn, see [HGNC:1546](/data/gene-symbol-report/#!/hgnc_id/HGNC:1546)						
CBR1	carbonyl reductase 1	CBR	SDR21C1		873	873	NM_001286789
CBR1-AS1	CBR1 antisense RNA 1			NR_040084	100133286	100133286	NR_040084
CBR3	carbonyl reductase 3		SDR21C2		874	874	NM_001236
CBR3-AS1	CBR3 antisense RNA 1		PlncRNA-1	NR_038892	100506428	100506428	NR_038892
CBR4	carbonyl reductase 4		FLJ14431, SDR45C1	NM_032783	84869	84869	NM_032783
CBR4-DT	CBR4 divergent transcript					121009646	NR_185919
CBS	cystathionine beta-synthase		HIP4	NM_000071	875	875	NM_000071
CBSL	cystathionine beta-synthase like						
CBSLR	CBS mRNA stabilizing lncRNA		TCONS_00001221		124904470	124904470	XR_007066771
CBWD7	symbol withdrawn, see [HGNC:31978](/data/gene-symbol-report/#!/hgnc_id/HGNC:31978)		OTTHUMG00000067194				
CBX1	chromobox 1		HP1Hs-beta, M31, MOD1, CBX, HP1-BETA, Hp1beta	NM_006807	10951	10951	NM_001127228
CBX1P1	chromobox 1 pseudogene 1				645251	645251	NG_007614
CBX1P2	chromobox 1 pseudogene 2				100147811	100147811	NG_012557
CBX1P3	chromobox 1 pseudogene 3				100128723	100128723	NG_007647
CBX1P4	chromobox 1 pseudogene 4				100130461	100130461	NG_007646
CBX1P5	chromobox 1 pseudogene 5	CBX9			100133259	100133259	NG_007645
CBX2	chromobox 2	CDCA6	MGC10561, M33	NM_032647	84733	84733	NM_005189
CBX3	chromobox 3		HP1Hs-gamma, HP1gamma	NM_007276	11335	11335	NM_001410866
CBX3P1	CBX3 pseudogene 1			NG_001315	159770	159770	NG_001315
CBX3P2	CBX3 pseudogene 2				645158	645158	NR_033754
CBX3P3	CBX3 pseudogene 3				100421861	100421861	NG_008481
CBX3P4	CBX3 pseudogene 4				100873792	100873792	NG_032536
CBX3P5	CBX3 pseudogene 5				100421943	100421943	NG_024039
CBX3P6	CBX3 pseudogene 6				642721	642721	NG_021530
CBX3P7	CBX3 pseudogene 7				100421975	100421975	NG_024399
CBX3P8	CBX3 pseudogene 8				100286965	100286965	NG_021817
CBX3P9	CBX3 pseudogene 9				644101	644101	NG_022324
CBX3P10	CBX3 pseudogene 10				107986032	107986032	
CBX4	chromobox 4		hPC2, PC2, NBP16	NM_003655	8535	8535	NM_003655
CBX5	chromobox 5		HP1Hs-alpha, HP1, HP1-ALPHA, HP1alpha	NM_012117	23468	23468	NM_001127321
CBX5P1	chromobox 5 pseudogene 1				100151661	100151661	NG_007668
CBX6	chromobox 6			NM_014292	23466	23466	NM_001303494
CBX7	chromobox 7			NM_175709	23492	23492	NM_001346743
CBX8	chromobox 8		RC1, HPC3, PC3	NM_020649	57332	57332	NM_020649
CBY1	chibby 1, beta catenin antagonist	C22orf2, PGEA1	PIGEA14, PIGEA-14, Chibby, Cby, Chibby1	NM_015373	25776	25776	NM_001002880
CBY1P1	CBY1 pseudogene 1			NG_030140	100131562	100131562	NG_030140
CBY2	chibby family member 2	SPERT	NURIT	NM_152719	220082	220082	NM_001286341
CBY3	chibby family member 3			NM_001164444	646019	646019	NM_001164444
CC2D1A	coiled-coil and C2 domain containing 1A		FLJ20241, MRT3, Freud-1, Lgd2, TAPE, Aki-1	NM_017721	54862	54862	NM_001411138
CC2D1B	coiled-coil and C2 domain containing 1B		KIAA1836, Freud-2, Lgd1	NM_032449	200014	200014	NM_001330585
CC2D2A	coiled-coil and C2 domain containing 2A		KIAA1345, MKS6, JBTS9	NM_001080522	57545	57545	NM_001080522
CC2D2B	coiled-coil and C2 domain containing 2B	C10orf130, C10orf131	bA248J23.4, bA690P14.3	NM_001349008	387707	387707	NM_001001732
CCA	symbol withdrawn, see [HGNC:3604](/data/gene-symbol-report/#!/hgnc_id/HGNC:3604)						
CCA1	cataract, congenital, cerulean type, 1		CTRCT7				
CCA2	symbol withdrawn, see [HGNC:2398](/data/gene-symbol-report/#!/hgnc_id/HGNC:2398)						
CCAL1	chondrocalcinosis 1 (calcium pyrophosphate-deposition disease, early onset osteoarthritis)		CPDD				
CCAL2	symbol withdrawn, see [HGNC:15492](/data/gene-symbol-report/#!/hgnc_id/HGNC:15492)		CPPDD				
CCAR1	cell division cycle and apoptosis regulator 1		FLJ10590, CARP-1, CARP1	NM_018237	55749	55749	NM_001282959
CCAR2	cell cycle and apoptosis regulator 2	KIAA1967	DBC-1, DBC1, NET35	NM_021174	57805	57805	NM_001363068
CCAT	symbol withdrawn, see [HGNC:4204](/data/gene-symbol-report/#!/hgnc_id/HGNC:4204)	CCAT	ULG3				
CCAT1	colon cancer associated transcript 1		CARLo-5, onco-lncRNA-40	NR_108049	100507056	100507056	NR_108049
CCAT2	colon cancer associated transcript 2		NCCP1, LINC00873	NR_109834	101805488	101805488	NR_109834
CCBE1	collagen and calcium binding EGF domains 1		FLJ30681, KIAA1983	NM_133459	147372	147372	NM_133459
CCD#	coiled coil domain #						
CCD1	symbol withdrawn, see [HGNC:10472](/data/gene-symbol-report/#!/hgnc_id/HGNC:10472)						
CCDC3	coiled-coil domain containing 3		DKFZp761F241	NM_031455	83643	83643	NM_001282658
CCDC6	coiled-coil domain containing 6	TST1, D10S170	PTC, TPC, H4, PTC1	NM_005436	8030	8030	NM_005436
CCDC7	coiled-coil domain containing 7	C10orf68	FLJ32762, FLJ13031, BIOT2	NM_145023	79741	79741	NM_001026383
CCDC8	coiled-coil domain containing 8		DKFZp564K0322, 3M3, PPP1R20	NM_032040	83987	83987	NM_032040
CCDC9	coiled-coil domain containing 9		DKFZP586M1019	NM_015603	26093	26093	NM_015603
CCDC9B	coiled-coil domain containing 9B	C15orf52	FLJ43339	NM_207380	388115	388115	NM_207380
CCDC12	coiled-coil domain containing 12		MGC23918	NM_144716	151903	151903	NM_001277074
CCDC12P1	CCDC12 pseudogene 1			NG_012227	100131852	100131852	NG_012227
CCDC13	coiled-coil domain containing 13		FLJ25467	NM_144719	152206	152206	NM_144719
CCDC13-AS1	CCDC13 antisense RNA 1					100874114	NR_046732
CCDC13-AS2	CCDC13 antisense RNA 2	LINC02158		NR_122070	729083	729083	NR_122070
CCDC14	coiled-coil domain containing 14		FLJ12892, DKFZp434L1050	NM_022757	64770	64770	NM_001308317
CCDC15	coiled-coil domain containing 15		FLJ13215	NM_025004	80071	80071	NM_025004
CCDC15-DT	CCDC15 divergent transcript				105369547	105369547	XR_948132
CCDC17	coiled-coil domain containing 17		FLJ33084	NM_152500	149483	149483	NM_001114938
CCDC18	coiled-coil domain containing 18		NY-SAR-41	NM_206886	343099	343099	NM_001306076
CCDC18-AS1	CCDC18 antisense RNA 1		ENST00000440778.1	NR_034089	100131564	100131564	NR_034089
CCDC22	coiled-coil domain containing 22	CXorf37	JM1	NM_014008	28952	28952	NM_014008
CCDC24	coiled-coil domain containing 24		MGC45441	NM_152499	149473	149473	NM_001349127
CCDC25	coiled-coil domain containing 25		FLJ10853	NM_018246	55246	55246	NM_001304529
CCDC26	CCDC26 long non-coding RNA		MGC27434, RAM		137196	137196	NR_130917
CCDC27	coiled-coil domain containing 27		FLJ32825	NM_152492	148870	148870	NM_152492
CCDC28A	coiled-coil domain containing 28A	C6orf80	CCRL1AP, DKFZp586D0623	NM_015439	25901	25901	NM_001379071
CCDC28A-AS1	CCDC28A antisense RNA 1	GVQW2		NR_161203	100507462	100507462	NR_161203
CCDC28B	coiled-coil domain containing 28B		MGC1203, RP4-622L5.5	NM_024296	79140	79140	NM_001301011
CCDC30	coiled-coil domain containing 30		FLJ20972, PFD6L, LOC728621	NM_025030	728621	728621	NM_001080850
CCDC32	coiled-coil domain containing 32	C15orf57	MGC20481	NM_052849	90416	90416	NM_001080791
CCDC33	coiled-coil domain containing 33		FLJ32855, CT61	NM_182791	80125	80125	NM_001287181
CCDC34	coiled-coil domain containing 34		NY-REN-41, L15, RAMA3	NM_030771	91057	91057	NM_030771
CCDC34P1	coiled-coil domain containing 34 pseudogene 1				100288584	100288584	NG_022070
CCDC38	coiled-coil domain containing 38		FLJ40089	NM_182496	120935	120935	NM_182496
CCDC39	coiled-coil domain containing 39		DKFZp434A128, CILD14, FAP59, CFAP59	NM_181426	339829	339829	NM_181426
CCDC39-AS1	CCDC39 antisense RNA 1					100874112	NR_046725
CCDC40	coiled-coil domain containing 40		FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172, CFAP172	NM_001243342	55036	55036	NM_001243342
CCDC42	coiled-coil domain containing 42		FLJ32734, CCDC42A	NM_144681	146849	146849	NM_001158261
CCDC43	coiled-coil domain containing 43		FLJ31795	NM_144609	124808	124808	NM_001099225
CCDC47	coiled-coil domain containing 47		GK001	NM_020198	57003	57003	NM_020198
CCDC50	coiled-coil domain containing 50	C3orf6, DFNA44	Ymer	NM_174908	152137	152137	NM_174908
CCDC51	coiled-coil domain containing 51		FLJ12436	NM_024661	79714	79714	NM_001256964
CCDC54	coiled-coil domain containing 54		NYD-SP17, FLJ25362, SP17	NM_032600	84692	84692	NM_032600
CCDC54-AS1	CCDC54 antisense RNA 1				101929579	101929579	NR_126332
CCDC57	coiled-coil domain containing 57		FLJ00130, FLJ23754	NM_198082	284001	284001	NM_001316321
CCDC59	coiled-coil domain containing 59		HSPC128, TAP26, BR22	NM_014167	29080	29080	NM_014167
CCDC60	coiled-coil domain containing 60		MGC39827	NM_178499	160777	160777	NM_178499
CCDC61	coiled-coil domain containing 61		VFL3, hVFL3	NM_001080402	729440	729440	NM_001267723
CCDC62	coiled-coil domain containing 62		TSP-NY, FLJ40344, CT109, ERAP75	NM_032573	84660	84660	NM_201435
CCDC63	coiled-coil domain containing 63		ODA5, FLJ35843	NM_152591	160762	160762	NM_001286243
CCDC65	coiled-coil domain containing 65		NYD-SP28, FLJ35732, FAP250, CFAP250, CILD27, DRC2	NM_033124	85478	85478	NM_001286957
CCDC66	coiled-coil domain containing 66		DKFZp686C0433	NM_001012506	285331	285331	NM_001012506
CCDC68	coiled-coil domain containing 68		SE57-1	NM_025214	80323	80323	NM_001143829
CCDC69	coiled-coil domain containing 69		FLJ13705, DKFZP434C171	NM_015621	26112	26112	NM_015621
CCDC70	coiled-coil domain containing 70		DKFZP434K1172, FLJ25853	NM_031290	83446	83446	NM_001346075
CCDC71	coiled-coil domain containing 71		FLJ12800	NM_022903	64925	64925	NM_022903
CCDC71L	coiled-coil domain containing 71 like	C7orf74	FLJ36031	NM_175884	168455	168455	NM_175884
CCDC73	coiled-coil domain containing 73		NY-SAR-79	NM_001008391	493860	493860	NM_001008391
CCDC74A	coiled-coil domain containing 74A		FLJ40345	NM_138770	90557	90557	NM_001258304
CCDC74B	coiled-coil domain containing 74B		DKFZp434E2321	NM_207310	91409	91409	NM_001258307
CCDC74BP1	coiled-coil domain containing 74B pseudogene 1				100996538	100996538	
CCDC77	coiled-coil domain containing 77		MGC13183	NM_032358	84318	84318	NM_001130146
CCDC78	coiled-coil domain containing 78	C16orf25	FLJ34512	NM_173476	124093	124093	NM_001031737
CCDC80	coiled-coil domain containing 80	LINC01279	URB, SSG1, DRO1, CL2, TCONS_00006930	NM_199511	151887	151887	NM_199511
CCDC81	coiled-coil domain containing 81		FLJ16339, FLJ23514	NM_021827	60494	60494	NM_001156474
CCDC82	coiled-coil domain containing 82		FLJ23518	NM_024725	79780	79780	NM_001318736
CCDC83	coiled-coil domain containing 83		MGC34732, FLJ42119, CT148, KP-CoT-23	NM_173556	220047	220047	NM_001286159
CCDC85A	coiled-coil domain containing 85A		KIAA1912		114800	114800	NM_001080433
CCDC85B	coiled-coil domain containing 85B		DIPA	NM_006848	11007	11007	NM_006848
CCDC85C	coiled-coil domain containing 85C			NM_001144995	317762	317762	NM_001144995
CCDC86	coiled-coil domain containing 86		MGC2574, cyclon, Cgr1	NM_024098	79080	79080	NM_024098
CCDC86-AS1	CCDC86 antisense RNA 1		RP5-1148A21.3, lncRP5			127138859	NR_182293
CCDC87	coiled-coil domain containing 87		FLJ10786	NM_018219	55231	55231	NM_018219
CCDC88A	coiled-coil domain containing 88A	KIAA1212	FLJ10392, APE, GIV, HkRP1, GRDN	NM_017571	55704	55704	NM_001135597
CCDC88B	coiled-coil domain containing 88B	CCDC88	FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE	NM_032251	283234	283234	NM_032251
CCDC88C	coiled-coil domain containing 88C	KIAA1509	DAPLE, HkRP2, SCA40	NM_001080414	440193	440193	NM_001080414
CCDC88C-DT	CCDC88C divergent transcript				105370625	105370625	NR_184261
CCDC89	coiled-coil domain containing 89		FLJ38159	NM_152723	220388	220388	NM_152723
CCDC90B	coiled-coil domain containing 90B		MDS025, MDS011	NM_021825	60492	60492	NM_001286116
CCDC90B-AS1	CCDC90B antisense RNA 1					120883614	XR_007062814
CCDC91	coiled-coil domain containing 91		p56, FLJ11088, DKFZp779L1558	NM_018318	55297	55297	NM_001330367
CCDC92	coiled-coil domain containing 92		FLJ22471	NM_025140	80212	80212	NM_001304957
CCDC92B	coiled-coil domain containing 92B			NM_001355573	101928991	101928991	NM_001355573
CCDC93	coiled-coil domain containing 93		FLJ10996	NM_019044	54520	54520	NM_019044
CCDC96	coiled-coil domain containing 96		FLJ90575	NM_153376	257236	257236	NM_153376
CCDC97	coiled-coil domain containing 97		FLJ40267, MGC20255	NM_052848	90324	90324	NM_001346100
CCDC102A	coiled-coil domain containing 102A		MGC10992	NM_033212	92922	92922	NM_033212
CCDC102B	coiled-coil domain containing 102B	C18orf14, ACY1L	FLJ23594, HsT1731, AN	NM_024781	79839	79839	NM_001093729
CCDC103	coiled-coil domain containing 103		FLJ13094, FLJ34211, PR46b, CILD17	NM_213607	388389	388389	NM_001258395
CCDC106	coiled-coil domain containing 106		HSU79303	NM_013301	29903	29903	NM_001370467
CCDC107	coiled-coil domain containing 107		MGC31967	NM_174923	203260	203260	NM_001195200
CCDC110	coiled-coil domain containing 110		KM-HN-1, MGC33607, CT52	NM_152775	256309	256309	NM_001145411
CCDC112	coiled-coil domain containing 112		MGC39633	NM_152549	153733	153733	NM_001040440
CCDC113	coiled-coil domain containing 113		HSPC065, DKFZp434N1418	NM_014157	29070	29070	NM_001142302
CCDC115	coiled-coil domain containing 115		MGC12981, FLJ30131, ccp1	NM_032357	84317	84317	NM_001321118
CCDC116	coiled-coil domain containing 116		FLJ36046	NM_152612	164592	164592	NM_001331066
CCDC117	coiled-coil domain containing 117		FLJ33814	NM_173510	150275	150275	NM_001284263
CCDC120	coiled-coil domain containing 120		JM11	NM_033626	90060	90060	NM_001163321
CCDC121	coiled-coil domain containing 121		FLJ43364, FLJ13646	NM_024584	79635	79635	NM_001142683
CCDC121P1	CCDC121 pseudogene 1			NG_009150	643888	643888	NG_009150
CCDC122	coiled-coil domain containing 122		FLJ31846	NM_144974	160857	160857	NM_001350617
CCDC124	coiled-coil domain containing 124		Lso2, oxs1	NM_138442	115098	115098	NM_001136203
CCDC125	coiled-coil domain containing 125		KENAE	NM_176816	202243	202243	NM_001297696
CCDC126	coiled-coil domain containing 126		FLJ23031	NM_138771	90693	90693	NM_138771
CCDC127	coiled-coil domain containing 127		FLJ25701	NM_145265	133957	133957	NM_145265
CCDC134	coiled-coil domain containing 134		FLJ22349	NM_024821	79879	79879	NM_001304797
CCDC136	coiled-coil domain containing 136		KIAA1793, NAG6, DKFZP434G156	NM_022742	64753	64753	NM_001201372
CCDC137	coiled-coil domain containing 137		MGC16597		339230	339230	NM_199287
CCDC137P1	CCDC137 pseudogene 1	CCDC137P			642802	642802	NG_009746
CCDC137P2	CCDC137 pseudogene 2					127379757	NG_115735
CCDC138	coiled-coil domain containing 138		FLJ32745	NM_144978	165055	165055	NM_001303105
CCDC140	CCDC140 long non-coding RNA		FLJ32447	NR_161172	151278	151278	NR_161172
CCDC141	coiled-coil domain containing 141		FLJ39502, CAMDI	NM_173648	285025	285025	NM_001316745
CCDC142	coiled-coil domain containing 142		FLJ14397	NM_032779	84865	84865	NM_001365575
CCDC144A	coiled-coil domain containing 144A		KIAA0565, FLJ43983	NM_014695	9720	9720	NM_001382000
CCDC144BP	coiled-coil domain containing 144B, pseudogene	CCDC144B	FLJ36492	NR_036647	284047	284047	NR_036647
CCDC144CP	coiled-coil domain containing 144C, pseudogene	CCDC144C		NR_023380	348254	348254	NR_023380
CCDC144NL	CCDC144A N-terminal like (pseudogene)		MGC87631	NR_164128	339184	339184	NR_164128
CCDC144NL-AS1	CCDC144NL antisense RNA 1			NR_104185	440416	440416	NR_104185
CCDC146	coiled-coil domain containing 146		KIAA1505, MBO2	NM_020879	57639	57639	NM_020879
CCDC148	coiled-coil domain containing 148		MGC125588	NM_138803	130940	130940	NM_001301684
CCDC148-AS1	CCDC148 antisense RNA 1			NR_038850	554201	554201	NR_038850
CCDC149	coiled-coil domain containing 149		DKFZp761B107	NM_173463	91050	91050	NM_001130726
CCDC150	coiled-coil domain containing 150		FLJ39660	NM_001080539	284992	284992	NM_001080539
CCDC150P1	coiled-coil domain containing 150 pseudogene 1				100420678	100420678	NG_024048
CCDC152	coiled-coil domain containing 152		LOC100129792	NM_001134848	100129792	100129792	NM_001134848
CCDC153	coiled-coil domain containing 153		LOC283152	NM_001033658	283152	283152	NM_001145018
CCDC154	coiled-coil domain containing 154	C16orf29	LOC645811	NM_001143980	645811	645811	NM_001143980
CCDC157	coiled-coil domain containing 157			NM_001017437	550631	550631	NM_001017437
CCDC158	coiled-coil domain containing 158		FLJ25770	NM_001042784	339965	339965	NM_001042784
CCDC159	coiled-coil domain containing 159			NM_001080503	126075	126075	NM_001080503
CCDC160	coiled-coil domain containing 160			NM_001101357	347475	347475	NM_001101357
CCDC162P	coiled-coil domain containing 162, pseudogene	C6orf184, C6orf185, CCDC162, C6orf183	bA425D10.7, bA425D10.3, bA487F23.3	NR_028595	221262	221262	NR_152435
CCDC163	CCDC163 homolog	C1orf231, CCDC163P	LOC126661	NM_001102601	126661	126661	NM_001102601
CCDC166	coiled-coil domain containing 166			NM_001162914	100130274	100130274	NM_001162914
CCDC167	coiled-coil domain containing 167	C6orf129	dJ153P14.2	NM_138493	154467	154467	NM_138493
CCDC168	coiled-coil domain containing 168	C13orf40	FLJ40176	NM_001146197	643677	643677	NM_001146197
CCDC169	coiled-coil domain containing 169	C13orf38	RP11-251J8.1, LOC728591	NM_001144981	728591	728591	NM_001144981
CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	C13orf38-SOHLH2		NM_001198910.1	100526761	100526761	NM_001198910
CCDC170	coiled-coil domain containing 170	C6orf97	FLJ23305, bA282P11.1	NM_025059	80129	80129	NM_025059
CCDC171	coiled-coil domain containing 171	C9orf93	FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1	NM_173550	203238	203238	NM_001348002
CCDC172	coiled-coil domain containing 172	C10orf96	MGC35062	NM_198515	374355	374355	NM_198515
CCDC174	coiled-coil domain containing 174	C3orf19	FLJ33839, ctr1	NM_016474	51244	51244	NM_001410719
CCDC175	coiled-coil domain containing 175	C14orf38		NM_001164399	729665	729665	NM_001164399
CCDC177	coiled-coil domain containing 177	C14orf162	PLPL	NM_001271507	56936	56936	NM_001271507
CCDC178	coiled-coil domain containing 178	C18orf34	FLJ44050	NM_198995	374864	374864	NM_001105528
CCDC179	coiled-coil domain containing 179			NM_001195637	100500938	100500938	NM_001195637
CCDC180	coiled-coil domain containing 180	KIAA1529, C9orf174	DKFZp434I2420, BDAG1, FAP76, CFAP76	NM_020893	100499483	100499483	NM_001348010
CCDC181	coiled-coil domain containing 181	C1orf114	FLJ25846	NM_021179	57821	57821	NM_001300968
CCDC182	coiled-coil domain containing 182				101927581	101927581	NM_001282544
CCDC183	coiled-coil domain containing 183	KIAA1984	MGC15438, bA216L13.7	NM_032874	84960	84960	NM_001039374
CCDC183-AS1	CCDC183 antisense RNA 1	KIAA1984-AS1		NR_024580	100131193	100131193	NR_024580
CCDC184	coiled-coil domain containing 184	C12orf68	LOC387856	NM_001013635	387856	387856	NM_001013635
CCDC185	coiled-coil domain containing 185	C1orf65	FLJ35728	NM_152610	164127	164127	NM_152610
